transaction_id,customer_id,city,product_name,category,price,quantity,transaction_date,status
1064,C162,Miami,Ceiling Fan,Home,120.00,1,2023-10-23,completed
1065,C163,San Francisco,USB Cable,Electronics,8.50,5,2023-10-23,completed
1066,C164,Boston,Whiteboard,Stationery,35.00,1,2023-10-24,pending
1067,C165,Seattle,Office Table,Furniture,250.00,1,2023-10-24,completed
1068,C166,Denver,Skipping Rope,Sports,15.00,2,2023-10-24,completed
1069,C167,Chicago,Air Conditioner,Home,600.00,1,2023-10-25,cancelled
1070,C168,New York,Earbuds,Electronics,,2,2023-10-25,completed
1071,C169,Los Angeles,Projector,Electronics,650.00,1,2023-10-26,completed
1072,C170,Houston,Electric Drill,Tools,120.00,1,2023-10-26,completed
1073,C171,Miami,Curtains,Home,75.00,2,2023-10-26,completed
1074,C172,San Francisco,Gaming Chair,Furniture,300.00,1,2023-10-27,completed
1075,C173,Boston,Notebook Set,Stationery,15.00,4,2023-10-27,completed
1076,C174,Seattle,Hair Straightener,Home,55.00,1,2023-10-27,pending
1077,C175,Denver,Basketball,Sports,35.00,2,2023-10-28,completed
1078,C176,Chicago,Tablet Stand,Accessories,20.00,1,2023-10-28,completed
1079,C177,New York,Smart Doorbell,Electronics,180.00,1,2023-10-28,completed
1080,C178,Los Angeles,Desk Organizer,Stationery,25.00,2,2023-10-29,completed
1081,C179,Houston,Refrigerator,Home,900.00,1,2023-10-29,completed
1082,C180,Miami,Sandals,Accessories,30.00,3,2023-10-29,completed
1083,C181,San Francisco,SSD Drive,Electronics,200.00,1,2023-10-30,completed
1084,C182,Boston,Marker Set,Stationery,10.00,5,2023-10-30,completed
1085,C183,Seattle,Table Fan,Home,40.00,2,2023-10-30,completed
1086,C184,Denver,Cricket Ball,Sports,12.00,6,2023-10-31,completed
1087,C185,Chicago,Coffee Table,Furniture,180.00,1,2023-10-31,completed
1088,C186,New York,Wireless Charger,Electronics,35.00,2,2023-10-31,completed
1089,C187,Los Angeles,Handbag,Accessories,85.00,1,2023-11-01,completed
1090,C188,Houston,Gas Stove,Home,250.00,1,2023-11-01,completed
1091,C189,Miami,Swim Goggles,Sports,20.00,2,2023-11-01,completed
1092,C190,San Francisco,Graphics Card,Electronics,1200.00,1,2023-11-02,completed
1093,C191,Boston,Desk Shelf,Furniture,95.00,1,2023-11-02,completed
1094,C192,Seattle,Glue Stick,Stationery,5.00,6,2023-11-02,completed
1095,C193,Denver,Thermos,Home,22.00,3,2023-11-03,completed
1096,C194,Chicago,Football Shoes,Sports,130.00,1,2023-11-03,completed
1097,C195,New York,Webcam,Electronics,75.00,1,2023-11-03,completed
1098,C196,Los Angeles,Beanie,Accessories,18.00,2,2023-11-04,completed
1099,C197,Houston,Water Dispenser,Home,180.00,1,2023-11-04,completed
1100,C198,Miami,Skipping Shoes,Sports,65.00,1,2023-11-04,completed
